SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
Brc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCCCC4)cc23)c1,50933652,0.27,454.3720000000004,4.950400000000003,5,2,6
OC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5433,0.28,402.25200000000007,3.8076000000000016,6,3,7
OC(=O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5483,0.28,374.198,3.027400000000001,6,3,5
CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,50933651,0.28,414.3070000000001,4.026100000000001,5,2,6
OC(=O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,50210454,0.281838,402.2520000000001,3.8076000000000008,6,3,7
Cc1nc2cc3ncnc(Nc4cccc(Br)c4)c3cc2[nH]1,5333,0.29,354.211,4.320620000000002,4,2,2
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,50933659,0.29,473.9360000000004,4.225400000000003,7,2,8
C[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(NS(C)(=O)=O)cc1)c1ccccc1,51381336,0.3,407.49900000000014,4.169500000000003,5,3,6
CC(C)c1cnc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(n3)N3CC[C@@H](O)[C@@](C)(F)C3)cc12,51485651,0.3,481.5760000000003,3.155400000000002,9,3,5
CN(C)CCNCc1ccc(cc1)-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381360,0.3,430.55600000000015,3.4216000000000006,6,4,10
NC(=O)c1c2NCCC(c3ccccc3NC(=O)C=C)n2nc1-c1ccc(OCC2CC2)cc1,51304477,0.3,457.53400000000033,3.9673000000000025,6,3,8
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC1CCN(CC1)C(=O)C=C,648096,0.3,482.3820000000004,4.733400000000004,6,2,6
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C,50420741,0.3,459.90900000000033,4.309200000000003,7,1,4
COc1cc2ncnc3Nc4cc(Cl)ccc4OCCOCCOCCOc1cc23,51494720,0.3,431.8760000000004,3.839800000000003,8,1,1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC1CN(C1)C(=O)C=C,648078,0.3,427.86700000000025,3.9832000000000023,6,2,6
COc1cc(NS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381355,0.3,453.5240000000001,3.150500000000001,7,4,8
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381362,0.3,460.5820000000001,3.430200000000001,7,4,11
CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,50836412,0.3,355.76000000000005,3.5227000000000013,5,2,3
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C(\F)=C/CN1CCOCC1,50249183,0.3,489.9100000000004,4.298600000000003,7,2,7
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,5293,0.31,315.7600000000001,4.044000000000002,5,1,4
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CO,51276641,0.34,390.8020000000001,3.4954000000000023,6,3,6
C\C(=N/OC[C@@H](O)CNC(C)(C)C)C1CC1,50983278,0.34,228.336,1.5378999999999996,4,2,6
Brc1cccc(Nc2ncnc3cc4cn[nH]c4cc23)c1,5343,0.34,340.184,4.012200000000001,4,2,2
Cc1ccc(cc1)-c1nn2C(CCNc2c1C(N)=O)c1ccccc1NC(=O)C=C,51304342,0.34,401.4700000000001,3.4869200000000005,5,3,5
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C[C@H]1C)C(=O)C=C,51489412,0.34,499.9300000000004,4.392000000000003,7,1,5
OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5477,0.35,461.3640000000001,2.6194999999999995,8,4,11
Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,5283,0.35,362.174,3.560200000000001,4,2,2
Brc1cccc(Nc2ncnc3ccc(NC(=O)Cn4sccc4=O)cc23)c1,50552419,0.36,456.3250000000002,3.9978000000000016,7,2,5
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5386,0.37,354.21100000000007,4.022600000000002,5,1,2
Brc1cccc(Nc2ncnc3ccc(NC(=O)CNC(=O)Oc4ccccc4)cc23)c1,50552418,0.37,492.33300000000025,4.863000000000001,6,3,6
OC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7260,0.37,413.2310000000001,3.715200000000001,5,3,5
Brc1c[nH]c2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc12,51499320,0.38,408.2590000000002,4.741700000000001,4,3,4
CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC,50844840,0.38,343.81400000000014,4.824200000000004,5,1,6
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1SC1CN(C1)C(=O)C=C,648102,0.4,444.91900000000027,4.663400000000004,6,1,6
C[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(cc1)S(C)(=O)=O)c1ccccc1,51381333,0.4,392.48400000000015,4.201500000000002,5,2,5
COc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381331,0.4,360.417,3.779000000000001,5,3,6
COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381361,0.4,495.6050000000001,2.9132000000000007,8,4,11
Nc1ncnc2n(cc(-c3cnc4ccccc4c3)c12)[C@@H]1CCN(C1)C(=O)C=C,51526547,0.4,384.44300000000027,3.1881000000000013,6,1,3
COc1cc(ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1)C(N)=O,51381346,0.4,387.4430000000001,3.9055000000000017,5,3,6
Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,50056637,0.42,304.3530000000001,3.806320000000001,4,2,4
CN1CCN(CC1)c1ccc(Nc2ncc3CN(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)cc1,50934355,0.43,498.5910000000002,3.8000000000000025,7,2,6
Brc1cccc(Nc2ncnc3cnc(cc23)S(=O)(=O)C=C)c1,7277,0.43,391.25000000000017,3.448100000000001,6,1,4
CN(C)CCCNC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7267,0.44,497.3970000000001,3.698500000000001,6,3,9
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,5344,0.44,340.184,4.012200000000001,4,2,2
CN(CC(O)=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5484,0.44,388.225,3.051700000000001,6,2,5
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,5345,0.44,339.196,4.617200000000001,3,2,2
CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,5490,0.45,265.32,3.118520000000001,5,2,3
Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,50134746,0.45,369.2220000000001,4.2604000000000015,4,2,4
CN(C)c1ccc(\C=N\NC(=O)Cn2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)cc1,51459843,0.45,473.9640000000001,3.857000000000003,6,1,7
NC(=O)c1c2NCCC(c3ccccc3NC(=O)C=C)n2nc1-c1ccc(OC(F)(F)F)cc1,51304417,0.46,471.4390000000002,4.077100000000002,6,3,6
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,50503858,0.47,458.2720000000002,3.1914000000000007,7,3,5
COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCCn1ccnc1[N+]([O-])=O,50258915,0.47,472.5050000000004,4.717300000000003,9,1,11
O=C(CNc1n[nH]c2ncccc12)Nc1sc2CCCCc2c1C#N,51506155,0.47,352.4230000000003,2.8204800000000008,6,3,4
Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc21,5537,0.47,371.2630000000001,4.932800000000001,5,2,2
COc1ccc(cc1)-c1nn2C(CCNc2c1C(N)=O)c1ccccc1NC(=O)C=C,51304479,0.48,417.4690000000001,3.187100000000001,6,3,6
COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCn1ccnc1[N+]([O-])=O,50258416,0.49,472.5050000000004,4.717300000000004,9,1,11
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+]([O-])=O,50258923,0.49,499.32500000000033,4.718300000000004,9,1,9
CS(=O)(=O)Nc1ccc(cc1)-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381351,0.5,423.49800000000016,3.1419000000000006,6,4,7
C\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7252,0.5,384.2370000000001,4.045500000000002,5,2,4
Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C,342605,0.5,440.5070000000004,4.217300000000003,7,1,5
COc1ccc(cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1)C(=O)NCCN(C)C,50457421,0.5,475.6180000000002,4.831400000000004,7,2,9
