SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
CN(C)CCCNC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7267,0.44,497.3970000000001,3.698500000000001,6,3,9
CN(C)CCCNC(=O)\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7268,1.1,498.3850000000001,3.0935000000000006,7,3,9
CCN(CC)CCCNC(=O)\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7269,0.73,526.4390000000001,3.8737000000000013,7,3,11
Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\C(=O)NCCCN4CCOCC4)cc23)c1,7270,0.81,540.4220000000005,2.8641000000000005,8,3,9
Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\C(=O)NCCCn4ccnc4)cc23)c1,7271,0.56,521.3790000000004,3.428600000000001,8,3,9
CN(C)CCCNC(=O)\C=C\C(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7272,1.45,512.412,3.117800000000001,7,2,9
Fc1ccc(Nc2ncnc3cnc(NC(=O)\C=C\C(=O)NCCCN4CCOCC4)cc23)cc1Cl,7273,0.61,513.9610000000005,2.894100000000001,8,3,9
Brc1cccc(Nc2ncnc3cnc(NS(=O)(=O)C=C)cc23)c1,7274,0.76,406.26500000000016,3.4161,6,2,5
Brc1cccc(Nc2ncnc3ccc(NS(=O)(=O)C=C)cc23)c1,7275,1.4,405.27700000000016,4.0211000000000015,5,2,5
Brc1cccc(Nc2ncnc3cnc(cc23)S(=O)(=O)C=C)c1,7277,0.43,391.25000000000017,3.448100000000001,6,1,4
Brc1cccc(Nc2ncnc3cnc(cc23)S(=O)C=C)c1,7278,4.6,375.25100000000015,3.782000000000001,5,1,4
Nc1ccc2c(Nc3cccc(F)c3)ncnc2c1,5280,2.0,254.26800000000003,3.0947000000000005,4,2,2
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,5281,0.25,270.72300000000007,3.609000000000001,4,2,2
Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,5283,0.35,362.17400000000004,3.560200000000001,4,2,2
Nc1ccc2c(Nc3cccc(c3)C(F)(F)F)ncnc2c1,5284,3.3,304.27500000000003,3.974400000000001,4,2,2
COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,5292,3.8,299.30500000000006,3.529700000000002,5,1,4
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,5293,0.31,315.7600000000001,4.044000000000002,5,1,4
COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,5295,0.89,407.2110000000001,3.9952000000000023,5,1,4
COc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cc1OC,5296,0.24,349.3120000000001,4.409400000000002,5,1,4
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5297,4.0,329.2010000000001,4.177600000000002,4,2,3
Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,5300,4.7,316.158,3.841500000000001,4,2,2
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,5302,7.0,329.201,4.177600000000002,4,2,3
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,5306,0.69,344.2160000000001,3.759800000000001,5,3,3
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,5308,3.8,345.2000000000001,3.726700000000002,5,2,3
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,5309,6.5,349.619,4.371500000000001,4,2,2
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,5318,0.006,388.26500000000016,4.933300000000004,5,1,6
CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,5319,0.17,416.3190000000002,5.713500000000004,5,1,8
COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,5326,0.67,390.2370000000002,4.161700000000003,6,1,5
COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,5329,0.96,360.2110000000001,4.153100000000003,5,1,4
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,5330,0.072,439.10700000000014,4.915600000000003,5,1,4
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,5332,0.008,340.184,4.012200000000001,4,2,2
Cc1nc2cc3ncnc(Nc4cccc(Br)c4)c3cc2[nH]1,5333,0.29,354.211,4.320620000000002,4,2,2
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5334,0.01,354.211,4.0226000000000015,5,1,2
CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5335,1.32,411.30700000000013,4.047200000000003,6,1,5
